Official name of position,PC position phi,PC port
FPix_BmO_D3_BLD9_PNL2_RNG2,3Tb,1
FPix_BmO_D3_BLD8_PNL2_RNG2,3Tc,7
FPix_BmO_D3_BLD7_PNL2_RNG2,3Tc,5
FPix_BmO_D3_BLD6_PNL2_RNG2,3Tc,3
FPix_BmO_D3_BLD5_PNL2_RNG2,3Tc,1
FPix_BmO_D3_BLD4_PNL2_RNG2,3Td,7
FPix_BmO_D3_BLD3_PNL2_RNG2,3Td,5
FPix_BmO_D3_BLD2_PNL2_RNG2,3Td,3
FPix_BmO_D3_BLD1_PNL2_RNG2,3Td,1
FPix_BmO_D3_BLD17_PNL1_RNG2,3Ba,7
FPix_BmO_D3_BLD16_PNL1_RNG2,3Ba,5
FPix_BmO_D3_BLD15_PNL1_RNG2,3Ba,3
FPix_BmO_D3_BLD14_PNL1_RNG2,3Ba,1
FPix_BmO_D3_BLD13_PNL1_RNG2,3Bb,7
FPix_BmO_D3_BLD12_PNL1_RNG2,3Bb,5
FPix_BmO_D3_BLD11_PNL1_RNG2,3Bb,4
FPix_BmO_D3_BLD10_PNL1_RNG2,3Bb,3
FPix_BmO_D3_BLD9_PNL1_RNG2,3Bb,1
FPix_BmO_D3_BLD8_PNL1_RNG2,3Bc,7
FPix_BmO_D3_BLD7_PNL1_RNG2,3Bc,5
FPix_BmO_D3_BLD6_PNL1_RNG2,3Bc,3
FPix_BmO_D3_BLD5_PNL1_RNG2,3Bc,1
FPix_BmO_D3_BLD4_PNL1_RNG2,3Bd,7
FPix_BmO_D3_BLD3_PNL1_RNG2,3Bd,5
FPix_BmO_D3_BLD2_PNL1_RNG2,3Bd,3
FPix_BmO_D3_BLD1_PNL1_RNG2,3Bd,1
