"PC.position.Mirror" "Official.name.of.position" "ROC ID" "V2" "V3" "V4" "V5" "V6" "V_Digi" "V_Ana" "PC.port" "isOdd" "direct meas. (V)" "DCU meas. (LSB)" "DCU meas. (V)" "DCU* meas. (V)" "Va1 direct meas. (V)" "Va1 DCU meas. (LSB)" "Va1 DCU meas. (V)" "Va1 DCU* meas. (V)" "Vd1 direct meas. (V)" "Vd1 DCU meas. (LSB)" "Vd1 DCU meas. (V)" "Vd1 DCU* meas. (V)" "Va2 direct meas. (V)" "Va2 DCU meas. (LSB)" "Va2 DCU meas. (V)" "Va2 DCU* meas. (V)" "Vd2 direct meas. (V)" "Vd2 DCU meas. (LSB)" "Vd2 DCU meas. (V)" "Vd2 DCU* meas. (V)" "Va_final direct meas. (V)" "Va_final DCU* meas. (V)" "Vd_final direct meas. (V)" "Vd_final DCU* meas. (V)" "Diff_Vd_DCU* means. (V)" "Diff_Va_DCU* means. (V)"
"53" "B2D" "FPix_BpO_D2_BLD16_PNL1_RNG2_ROC0" 1456 166 111 132 139 87 2.94978417266187 1.97244604316547 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"54" "B2D" "FPix_BpO_D2_BLD10_PNL1_RNG1_ROC0" 1200 186 122 146 150 94 3.0628 2.00893333333333 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"55" "B2D" "FPix_BpO_D2_BLD11_PNL1_RNG1_ROC0" 1264 186 125 146 153 100 3.00274509803922 2.01797385620915 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"56" "B2D" "FPix_BpO_D2_BLD9_PNL1_RNG1_ROC0" 1136 186 125 144 155 98 2.964 1.99193548387097 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"57" "B3A" "FPix_BpO_D3_BLD1_PNL1_RNG1_ROC0" 1520 172 112 134 138 103 3.07855072463768 2.00463768115942 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"58" "B3A" "FPix_BpO_D3_BLD2_PNL1_RNG1_ROC0" 1584 180 118 136 147 97 3.02448979591837 1.98272108843537 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"59" "B3A" "FPix_BpO_D3_BLD1_PNL1_RNG2_ROC0" 1536 170 103 136 143 84 2.93636363636364 1.77909090909091 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"60" "B3A" "FPix_BpO_D3_BLD3_PNL1_RNG1_ROC0" 1648 184 121 144 151 96 3.00980132450331 1.97927152317881 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"61" "B3A" "FPix_BpO_D3_BLD2_PNL1_RNG2_ROC0" 1600 182 120 144 148 87 3.03743243243243 2.0027027027027 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"62" "B3A" "FPix_BpO_D3_BLD3_PNL1_RNG2_ROC0" 1664 184 122 149 152 103 2.99 1.9825 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"63" "B3A" "FPix_BpO_D3_BLD4_PNL1_RNG2_ROC0" 1728 176 114 136 145 99 2.99806896551724 1.94193103448276 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"64" "B3B" "FPix_BpO_D3_BLD4_PNL1_RNG1_ROC0" 1712 174 113 137 140 80 3.06985714285714 1.99364285714286 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"65" "B3B" "FPix_BpO_D3_BLD6_PNL1_RNG2_ROC0" 1856 170 113 129 139 90 3.02086330935252 2.00798561151079 5 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"66" "B3B" "FPix_BpO_D3_BLD5_PNL1_RNG1_ROC0" 1776 188 124 140 153 88 3.03503267973856 2.00183006535948 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"67" "B3B" "FPix_BpO_D3_BLD8_PNL1_RNG2_ROC0" 1984 182 120 143 149 99 3.01704697986577 1.98926174496644 3 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"68" "B3B" "FPix_BpO_D3_BLD7_PNL1_RNG2_ROC0" 1920 182 121 140 148 90 3.03743243243243 2.01939189189189 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"69" "B3B" "FPix_BpO_D3_BLD5_PNL1_RNG2_ROC0" 1792 186 125 143 153 92 3.00274509803922 2.01797385620915 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"70" "B3B" "FPix_BpO_D3_BLD9_PNL1_RNG2_ROC0" 2048 176 117 139 142 75 3.06140845070423 2.03514084507042 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"71" "B3C" "FPix_BpO_D3_BLD7_PNL1_RNG1_ROC0" 1904 176 121 142 150 102 2.89813333333333 1.99246666666667 4 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"72" "B3C" "FPix_BpO_D3_BLD8_PNL1_RNG1_ROC0" 1968 174 114 137 144 105 2.98458333333333 1.95541666666667 2 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"73" "B3C" "FPix_BpO_D3_BLD6_PNL1_RNG1_ROC0" 1840 180 120 142 150 110 2.964 1.976 6 0 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"74" "B3C" "FPix_BpO_D3_BLD10_PNL1_RNG2_ROC0" 2112 162 109 133 138 102 2.8995652173913 1.95094202898551 7 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
"75" "B3C" "FPix_BpO_D3_BLD13_PNL1_RNG2_ROC0" 2256 170 114 138 142 98 2.95704225352113 1.98295774647887 1 1 "" "" "0" "" NA "" "0" NA NA "" "0" NA NA "" "0" NA NA "" "0" NA NA NA NA NA NA NA
