,Portcard power,,,,,,,,,DCU ave (V),DCU direct (V),<DCU ave> (rel),<DCU dir> (rel),,,,,,,,
T2A,N/A,N/A,,3.38,3.72,3.348,3.393838863,3.47,3.704,3.3336,3.4725,3.37,3.602,3.2418,3.364585524,T2A,-0.03930835735,0.0007204610951,-0.03804154303,-0.001606669538,
B2B,N/A,N/A,,,,0,,,,0,,,,0,,B2B,,,,,
T2B,N/A,N/A,,3.45,3.642,3.2778,3.4324847,3.42,3.748,3.3732,3.43022187,3.46,3.649,3.2841,3.447521472,T2B,-0.01368421053,0.002988850891,-0.05083815029,-0.003606510869,
B2C,N/A,N/A,,,,0,,,,0,,,,0,,B2C,,,,,
T2C,N/A,N/A,,3.35,3.54,3.186,3.337714286,3.36,3.553,3.1977,3.351339322,3.34,3.594,3.2346,3.331516854,T2C,-0.04830357143,-0.002577582687,-0.03155688623,-0.002539864092,
B2D,N/A,N/A,,,,0,,,,0,,,,0,,B2D,,,,,
T2D,N/A,N/A,,3.39,3.586,3.2274,3.374199593,3.38,3.697,3.3273,3.398356546,3.39,3.665,3.2985,3.377004388,T2D,-0.01559171598,0.005430930758,-0.02699115044,-0.003833513949,
B3A,N/A,N/A,,,,0,,,,0,,,,0,,B3A,,,,,
T3A,N/A,N/A,,3.38,3.672,3.3048,3.386155689,3.34,3.602,3.2418,3.35779661,3.4,3.597,3.2373,3.383171824,T3A,-0.0294011976,0.005328326398,-0.04785294118,-0.004949463499,
B3B,N/A,N/A,,,,0,,,,0,,,,0,,B3B,,,,,
T3B,N/A,N/A,,3.41,3.657,3.2913,3.398097345,3.43,3.684,3.3156,3.437011309,3.42,3.664,3.2976,3.416972144,T3B,-0.03335276968,0.002044113283,-0.03578947368,-0.0008853380929,
B3C,N/A,N/A,,,,0,,,,0,,,,0,,B3C,,,,,
T3C,N/A,N/A,,3.29,3.547,3.1923,3.286630566,3.29,3.492,3.1428,3.264475921,3.3,3.513,3.1617,3.312257143,T3C,-0.04474164134,-0.007758078821,-0.04190909091,0.003714285714,
B3D,N/A,N/A,,,,0,,,,0,,,,0,,B3D,,,,,
T3D,N/A,N/A,,3.37,3.595,3.2355,3.356689572,3.34,3.549,3.1941,3.333952826,3.34,3.593,3.2337,3.313305389,T3D,-0.04368263473,-0.001810531032,-0.03182634731,-0.007992398437,
,,,,,,,,,,,,,,,,,,,,,
,Va2,,,,,,,,,,,,,,,,,,,,
portcard,HC1-BmI,,,HC4-BpO,,,,HC3-BpI,,,,HC2-BmO,,,,portcard,,,,,
,direct meas. (V),DCU meas. (V),,direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),,,,,,
B1A,N/A,N/A,,,,0,,,,0,,,,,,B1A,,,,,
T1A,N/A,N/A,,2.45,2.601,2.3409,2.43251417,,,0,,2.42,2.602,2.3418,2.413903614,T1A,,,-0.03231404959,-0.002519167579,
B1B,N/A,N/A,,,,0,,,,0,,,,0,,B1B,,,,,
T1B,N/A,N/A,,2.44,2.579,2.3211,2.432621478,,,0,,2.44,2.613,2.3517,2.443736842,T1B,,,-0.03618852459,0.001531492666,
B1C,N/A,N/A,,,,0,,,,0,,,,0,,B1C,,,,,
T1C,N/A,N/A,,2.41,2.609,2.3481,2.404944134,,,0,,2.39,2.512,2.2608,2.388933718,T1C,,,-0.05405857741,-0.0004461432723,
B1D,N/A,N/A,,,,0,,,,0,,,,0,,B1D,,,,,
T1D,N/A,N/A,,2.4,2.551,2.2959,2.387686386,,,0,,2.39,2.563,2.3067,2.369159664,T1D,,,-0.03485355649,-0.008719805914,
B2A,N/A,N/A,,,,0,,,,0,,,,0,,B2A,,,,,
T2A,N/A,N/A,,2.31,2.617,2.3553,2.387547393,2.41,2.564,2.3076,2.40375,2.38,2.536,2.2824,2.368847554,T2A,-0.04248962656,-0.002593360996,-0.04100840336,-0.004685901858,
B2B,N/A,N/A,,,,0,,,,0,,,,0,,B2B,,,,,
T2B,N/A,N/A,,2.45,2.594,2.3346,2.444773562,2.44,2.676,2.4084,2.44911252,2.43,2.584,2.3256,2.441325153,T2B,-0.01295081967,0.003734639266,-0.04296296296,0.004660556944,
B2C,N/A,N/A,,,,0,,,,0,,,,0,,B2C,,,,,
T2C,N/A,N/A,,2.42,2.556,2.3004,2.409942857,2.41,2.564,2.3076,2.418472846,2.41,2.604,2.3436,2.413820225,T2C,-0.04248962656,0.003515703759,-0.02755186722,0.001585155485,
B2D,N/A,N/A,,,,0,,,,0,,,,0,,B2D,,,,,
T2D,N/A,N/A,,2.42,2.562,2.3058,2.410680244,2.37,2.58,2.322,2.371587744,2.43,2.622,2.3598,2.415963303,T2D,-0.02025316456,0.0006699340644,-0.02888888889,-0.00577641862,
B3A,N/A,N/A,,,,0,,,,0,,,,0,,B3A,,,,,
T3A,N/A,N/A,,2.37,2.564,2.3076,2.364407186,2.41,2.598,2.3382,2.421864407,2.4,2.547,2.2923,2.395590391,T3A,-0.02979253112,0.004922990365,-0.044875,-0.001837337134,
B3B,N/A,N/A,,,,0,,,,0,,,,0,,B3B,,,,,
T3B,N/A,N/A,,2.43,2.6,2.34,2.415929204,2.44,2.616,2.3544,2.440613893,2.43,2.6,2.34,2.424707307,T3B,-0.03508196721,0.0002515956461,-0.03703703704,-0.00217806287,
B3C,N/A,N/A,,,,0,,,,0,,,,0,,B3C,,,,,
T3C,N/A,N/A,,2.42,2.601,2.3409,2.410072202,2.38,2.533,2.2797,2.36796034,2.38,2.529,2.2761,2.384485714,T3C,-0.04214285714,-0.005058680696,-0.04365546218,0.001884753902,
B3D,N/A,N/A,,,,0,,,,0,,,,0,,B3D,,,,,
T3D,N/A,N/A,,2.43,2.589,2.3301,2.417376718,2.4,2.548,2.2932,2.393607157,2.39,2.577,2.3193,2.37639521,T3D,-0.0445,-0.002663684425,-0.02958158996,-0.005692380929,
,,,,,,,,,,,,,,,,,,,,,
,Vd2,,,,,,,,,,,,,,,,,,,,
portcard,HC1-BmI,,,HC4-BpO,,,,HC3-BpI,,,,HC2-BmO,,,,portcard,,,,,
,direct meas. (V),DCU meas. (V),,direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),,,,,,
B1A,N/A,N/A,,,,0,,,,0,,,,,,B1A,,,,,
T1A,N/A,N/A,,3.48,3.712,3.3408,3.471546559,,,0,,3.48,3.731,3.3579,3.461289157,T1A,,,-0.0350862069,-0.00537667913,
B1B,N/A,N/A,,,,0,,,,0,,,,0,,B1B,,,,,
T1B,N/A,N/A,,3.51,3.704,3.3336,3.493768885,,,0,,3.52,3.74,3.366,3.497732794,T1B,,,-0.04375,-0.006325910931,
B1C,N/A,N/A,,,,0,,,,0,,,,0,,B1C,,,,,
T1C,N/A,N/A,,3.41,3.708,3.3372,3.417988827,,,0,,3.43,3.59,3.231,3.414121037,T1C,,,-0.05801749271,-0.004629435142,
B1D,N/A,N/A,,,,0,,,,0,,,,0,,B1D,,,,,
T1D,N/A,N/A,,3.42,3.625,3.2625,3.392929498,,,0,,3.42,3.693,3.3237,3.413697479,T1D,,,-0.02815789474,-0.0018428424,
B2A,N/A,N/A,,,,0,,,,0,,,,0,,B2A,,,,,
T2A,N/A,N/A,,3.41,3.741,3.3669,3.41299763,3.43,3.651,3.2859,3.4228125,3.42,3.64,3.276,3.400080873,T2A,-0.04201166181,-0.00209548105,-0.04210526316,-0.005824306014,
B2B,N/A,N/A,,,,0,,,,0,,,,0,,B2B,,,,,
T2B,N/A,N/A,,3.47,3.676,3.3084,3.464528764,3.48,3.814,3.4326,3.49062599,3.51,3.705,3.3345,3.500429448,T2B,-0.01362068966,0.003053445543,-0.05,-0.002726653033,
B2C,N/A,N/A,,,,0,,,,0,,,,0,,B2C,,,,,
T2C,N/A,N/A,,3.39,3.565,3.2085,3.361285714,3.4,3.602,3.2418,3.397558187,3.36,3.639,3.2751,3.373230337,T2C,-0.04652941176,-0.0007181802897,-0.02526785714,0.003937600321,
B2D,N/A,N/A,,,,0,,,,0,,,,0,,B2D,,,,,
T2D,N/A,N/A,,3.43,3.632,3.2688,3.417482688,3.41,3.699,3.3291,3.400194986,3.41,3.714,3.3426,3.422153969,T2D,-0.02372434018,-0.002875370653,-0.01976539589,0.00356421375,
B3A,N/A,N/A,,,,0,,,,0,,,,0,,B3A,,,,,
T3A,N/A,N/A,,3.41,3.686,3.3174,3.399065868,3.38,3.642,3.2778,3.395084746,3.42,3.628,3.2652,3.41232899,T3A,-0.03023668639,0.004462942533,-0.04526315789,-0.002242985313,
B3B,N/A,N/A,,,,0,,,,0,,,,0,,B3B,,,,,
T3B,N/A,N/A,,3.45,3.688,3.3192,3.426902655,3.45,3.701,3.3309,3.452871567,3.46,3.715,3.3435,3.46453371,T3B,-0.03452173913,0.0008323382735,-0.03367052023,0.001310320848,
B3C,N/A,N/A,,,,0,,,,0,,,,0,,B3C,,,,,
T3C,N/A,N/A,,3.35,3.612,3.2508,3.346859206,3.34,3.551,3.1959,3.319631728,3.38,3.59,3.231,3.384857143,T3C,-0.04314371257,-0.006098285016,-0.04408284024,0.001437024514,
B3D,N/A,N/A,,,,0,,,,0,,,,0,,B3D,,,,,
T3D,N/A,N/A,,3.39,3.641,3.2769,3.399640259,3.38,3.581,3.2229,3.364013827,3.36,3.635,3.2715,3.352035928,T3D,-0.04647928994,-0.004729637054,-0.02633928571,-0.002370259481,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fit HC3 data with linear line:,,,,,,,,,,,,,
,,,,,,,,R2 = 0.99426,,,,,,,,,,,,,
,,,,,,,,V (DCU) = 1.0882 V(direct) - 0.0203 V,,,,,,,,,,,,,
,,,,,,,,if restricting offset to 0,,,,,,,,,,,,,
,,,,,,,,R2 = 0.99422,,,,,,,,,,,,,
,,,,,,,,V(DCU) = 1.0815 V(direct),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0x8e - bandgap,,,,,,,,,,,,,,,,,,,,
portcard,HC1-BmI,,,HC4-BpO,,,,HC3-BpI,,,,HC2-BmO,,,,portcard,,,,,
